Name,Product,Edition,SB,Arch,GUI,Core,Gen1,Gen2,ProductKey,Image,SHA1,Version,Sort,Notes
,Windows Server 2016,DataCenter,,x64,TRUE,FALSE,FALSE,TRUE,,en_windows_server_2016_x64_dvd_9327751.iso,7E33DF150CB4D1FE3503E23433A1867DDD79A6EE,10,1,
,Windows Server 2016,Standard,,x64,TRUE,FALSE,FALSE,TRUE,,en_windows_server_2016_x64_dvd_9327751.iso,7E33DF150CB4D1FE3503E23433A1867DDD79A6EE,10,1,
,Windows Server 2012 R2,DataCenter,,x64,TRUE,FALSE,FALSE,TRUE,,en_windows_server_2012_r2_with_update_x64_dvd_6052708.iso,865494E969704BE1C4496D8614314361D025775E,6.3,1,
,Windows Server 2012 R2,Standard,,x64,TRUE,FALSE,FALSE,TRUE,,en_windows_server_2012_r2_with_update_x64_dvd_6052708.iso,865494E969704BE1C4496D8614314361D025775E,6.3,1,
,Windows Server 2012,DataCenter,,x64,TRUE,FALSE,FALSE,TRUE,,en_windows_server_2012_x64_dvd_915478.iso,D09E752B1EE480BC7E93DFA7D5C3A9B8AAC477BA,6.2,1,
,Windows Server 2012,Standard,,x64,TRUE,FALSE,FALSE,TRUE,,en_windows_server_2012_x64_dvd_915478.iso,D09E752B1EE480BC7E93DFA7D5C3A9B8AAC477BA,6.2,1,
,Windows Server 2008 R2,DataCenter,,x64,TRUE,FALSE,FALSE,FALSE,,en_windows_server_2008_r2_with_sp1_x64_dvd_617601.iso,D3FD7BF85EE1D5BDD72DE5B2C69A7B470733CD0A,6.1,1,
,Windows Server 2008 R2,Standard,,x64,TRUE,FALSE,FALSE,FALSE,,en_windows_server_2008_r2_with_sp1_x64_dvd_617601.iso,D3FD7BF85EE1D5BDD72DE5B2C69A7B470733CD0A,6.1,1,
,Windows Server 2008 R2,Enterprise,,x64,TRUE,FALSE,FALSE,FALSE,,en_windows_server_2008_r2_with_sp1_x64_dvd_617601.iso,D3FD7BF85EE1D5BDD72DE5B2C69A7B470733CD0A,6.1,1,
,Windows 10,Enterprise,,x86,TRUE,,FALSE,FALSE,,en_windows_10_enterprise_x86_dvd_6851156.iso,E7138032986BFCFA0E5F1A8E41E2E9FD1EC94268,10,2,
,Windows 10,Enterprise,,x64,TRUE,,FALSE,TRUE,,en_windows_10_enterprise_x64_dvd_6851151.iso,30AD1CDF5D0670F12788005131E24862F6AB8AAB,10,2,
,Windows 10,Enterprise,2015 LTSB,x64,TRUE,,FALSE,TRUE,,en_windows_10_enterprise_2015_ltsb_x64_dvd_6848446.iso,264D48C902E6B586A1ED965062F7DA4D4DA99B35,10,2,
,Windows 10,Enterprise,2015 LTSB,x86,TRUE,,FALSE,FALSE,,en_windows_10_enterprise_2015_ltsb_x86_dvd_6848454.iso,ABE400AD86C604197A3B163E31AFCC1B7C53325E,10,2,
,Windows 10,Enterprise,2016 LTSB,x64,TRUE,,FALSE,TRUE,,en_windows_10_enterprise_2016_ltsb_x64_dvd_9059483.iso,031ED6ACDC47B8F582C781B039F501D83997A1CF,10,2,
,Windows 10,Enterprise,2016 LTSB,x86,TRUE,,FALSE,FALSE,,en_windows_10_enterprise_2016_ltsb_x86_dvd_9060010.iso,45E72D02FF17125C699558719EB946D8E140C9CC,10,2,
,Windows 10,Enterprise,1607,x64,TRUE,,FALSE,TRUE,,en_windows_10_enterprise_version_1607_updated_jul_2016_x64_dvd_9054264.iso,F9FFEA3A40BF39CCDE105BB064E153343560D73E,10,2,
,Windows 10,Enterprise,1607,x86,TRUE,,FALSE,FALSE,,en_windows_10_enterprise_version_1607_updated_jul_2016_x86_dvd_9060097.iso,89E415FEC5F4ED23D96CB543D3CEA838F57A10A0,10,2,
,Windows 10,Professional,1607,x64,TRUE,,FALSE,TRUE,,en_windows_10_multiple_editions_version_1607_updated_jul_2016_x64_dvd_9058187.iso,99FD8082A609997AE97A514DCA22BECF20420891,10,2,
,Windows 10,Professional,1607,x86,TRUE,,FALSE,FALSE,,en_windows_10_multiple_editions_version_1607_updated_jul_2016_x86_dvd_9053863.iso,5A4D2C953D884578A6ADB448BEE5753B80EC1CFA,10,2,
,Windows 10,Professional,,x64,TRUE,,FALSE,TRUE,,en_windows_10_multiple_editions_version_1511_updated_apr_2016_x64_dvd_8705583.iso,1B247B5B348E78C9BC3AFD3C1CBE10CEE3D1B9D5,10,2,
,Windows 10,Professional,,x86,TRUE,,FALSE,FALSE,,en_windows_10_multiple_editions_version_1511_updated_apr_2016_x86_dvd_8735185.iso,2DDE3A5BFA60B7F10CD38DBD544CF00A075F8908,10,2,
,Windows 8.1,Professional,with Update,x64,TRUE,,FALSE,FALSE,,,,6.3,2,
,Windows 8.1,Professional,with Update,x86,TRUE,,FALSE,FALSE,,,,6.3,2,
,Windows 8.1,Professional,,x64,TRUE,,FALSE,FALSE,,,,6.3,2,
,Windows 8.1,Professional,,x86,TRUE,,FALSE,FALSE,,,,6.3,2,
,Windows 8.1,Enterprise,,x64,TRUE,,FALSE,FALSE,,en_windows_8_1_enterprise_x64_dvd_2971902.iso,AE792B2EF982DAC7391224B624EAB8D6340D78AB,6.3,2,
,Windows 8.1,Enterprise,,x86,TRUE,,FALSE,FALSE,,en_windows_8_1_enterprise_x86_dvd_2972289.iso,5EFB981C94E1223C85F3BB504D04E0642A85C1D4,6.3,2,
,Windows 8,Enterprise,,x64,TRUE,,FALSE,FALSE,,en_windows_8_enterprise_x64_dvd_917522.iso,4EADFE83E736621234C63E8465986F0AF6AA3C82,6.2,2,
,Windows 8,Professional,,x64,TRUE,,FALSE,FALSE,,,,6.2,2,
,Windows 7,Professional,,x64,TRUE,,FALSE,FALSE,,en_windows_7_professional_with_sp1_x64_dvd_u_676939.iso,0BCFC54019EA175B1EE51F6D2B207A3D14DD2B58,6.1,2,
,Windows 7,Ultimate,,x64,TRUE,,FALSE,FALSE,,en_windows_7_ultimate_with_sp1_x64_dvd_u_677332.iso,36AE90DEFBAD9D9539E649B193AE573B77A71C83,6.1,2,
,Windows 7,Ultimate,,x86,TRUE,,FALSE,FALSE,,en_windows_7_ultimate_with_sp1_x86_dvd_u_677460.iso,65FCE0F445D9BF7E78E43F17E441E08C63722657,6.1,2,
,Windows 7,Professional,,x64,TRUE,,FALSE,FALSE,,en_windows_7_professional_with_sp1_x64_dvd_u_676939.iso,36AE90DEFBAD9D9539E649B193AE573B77A71C83,6.1,2,
,Windows 7,Professional,,x86,TRUE,,FALSE,FALSE,,en_windows_7_professional_with_sp1_x86_dvd_u_677056.iso,D89937DF3A9BC2EC1A1486195FD308CD3DADE928,6.1,2,
